"Ano","Trimestre","UF","V1022","V2007","V2009","V2010","VD2003","VD3005","VD4016"
"2021","1","Bahia","Urbana","Mulher",68,"Parda",4,"5 anos de estudo",NA
"2021","1","Roraima","Urbana","Mulher",15,"Parda",3,"7 anos de estudo",NA
"2021","1","Mato Grosso","Urbana","Homem",31,"Branca",7,"16 anos ou mais de estudo",5500
"2021","1","Mato Grosso","Urbana","Homem",2,"Parda",4,NA,NA
"2021","1","Maranhão","Urbana","Mulher",44,"Parda",4,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Bahia","Rural","Mulher",40,"Preta",4,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","São Paulo","Rural","Homem",49,"Branca",5,"6 anos de estudo",2500
"2021","1","Alagoas","Rural","Homem",55,"Parda",3,"6 anos de estudo",NA
"2021","1","Minas Gerais","Rural","Mulher",9,"Parda",11,"3 anos de estudo",NA
"2021","1","Maranhão","Urbana","Mulher",40,"Parda",6,"12 anos de estudo",NA
"2021","1","Paraná","Urbana","Mulher",55,"Branca",4,"16 anos ou mais de estudo",NA
"2021","1","São Paulo","Rural","Homem",0,"Branca",6,NA,NA
"2021","1","Amapá","Urbana","Homem",35,"Parda",2,"16 anos ou mais de estudo",10000
"2021","1","Paraíba","Urbana","Mulher",32,"Branca",5,"16 anos ou mais de estudo",3000
"2021","1","Acre","Urbana","Homem",7,"Parda",2,"3 anos de estudo",NA
"2021","1","Rio Grande do Sul","Rural","Mulher",63,"Branca",2,"4 anos de estudo",833
"2021","1","Pernambuco","Rural","Mulher",62,"Branca",3,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","São Paulo","Urbana","Homem",54,"Parda",2,"12 anos de estudo",1176
"2021","1","Pará","Rural","Mulher",48,"Parda",2,"6 anos de estudo",NA
"2021","1","Pernambuco","Rural","Homem",5,"Parda",4,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Alagoas","Urbana","Mulher",46,"Branca",2,"16 anos ou mais de estudo",3500
"2021","1","Rio Grande do Sul","Urbana","Homem",49,"Branca",5,"9 anos de estudo",5000
"2021","1","Alagoas","Urbana","Mulher",20,"Branca",5,"14 anos de estudo",NA
"2021","1","Maranhão","Urbana","Mulher",90,"Preta",1,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Santa Catarina","Urbana","Homem",16,"Branca",4,"1 ano de estudo",NA
"2021","1","Acre","Urbana","Homem",0,"Branca",5,NA,NA
"2021","1","Rio Grande do Sul","Urbana","Homem",41,"Branca",5,"12 anos de estudo",2000
"2021","1","Pará","Rural","Mulher",15,"Parda",4,"8 anos de estudo",NA
"2021","1","Pernambuco","Urbana","Homem",67,"Branca",3,"16 anos ou mais de estudo",NA
"2021","1","São Paulo","Urbana","Homem",26,"Branca",3,"15 anos de estudo",3150
"2021","1","Mato Grosso","Urbana","Homem",22,"Parda",4,"12 anos de estudo",NA
"2021","1","Espírito Santo","Urbana","Mulher",18,"Parda",2,"7 anos de estudo",200
"2021","1","Pará","Urbana","Mulher",58,"Parda",3,"12 anos de estudo",NA
"2021","1","São Paulo","Urbana","Homem",63,"Parda",2,"2 anos de estudo",NA
"2021","1","Alagoas","Urbana","Mulher",0,"Parda",4,NA,NA
"2021","1","Minas Gerais","Rural","Homem",31,"Parda",3,"4 anos de estudo",1000
"2021","1","São Paulo","Urbana","Homem",14,"Branca",4,"8 anos de estudo",500
"2021","1","Rondônia","Urbana","Mulher",39,"Parda",4,"12 anos de estudo",5000
"2021","1","São Paulo","Urbana","Mulher",34,"Parda",6,"16 anos ou mais de estudo",2000
"2021","1","Pará","Urbana","Homem",44,"Parda",5,"8 anos de estudo",1050
"2021","1","Minas Gerais","Urbana","Mulher",61,"Branca",8,"9 anos de estudo",NA
"2021","1","Mato Grosso","Urbana","Homem",48,"Parda",3,"8 anos de estudo",2000
"2021","1","Maranhão","Urbana","Homem",47,"Parda",4,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Amazonas","Urbana","Mulher",29,"Parda",3,"12 anos de estudo",NA
"2021","1","Mato Grosso","Urbana","Mulher",43,"Preta",6,"12 anos de estudo",800
"2021","1","Distrito Federal","Urbana","Homem",65,"Preta",1,"11 anos de estudo",NA
"2021","1","Acre","Urbana","Mulher",10,"Parda",5,"5 anos de estudo",NA
"2021","1","Rio Grande do Norte","Urbana","Homem",36,"Parda",4,"12 anos de estudo",3300
"2021","1","Amapá","Urbana","Homem",20,"Parda",2,"12 anos de estudo",NA
"2021","1","Alagoas","Urbana","Homem",7,"Parda",4,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Rondônia","Urbana","Mulher",28,"Parda",2,"16 anos ou mais de estudo",NA
"2021","1","Paraíba","Urbana","Homem",18,"Parda",5,"10 anos de estudo",NA
"2021","1","Roraima","Urbana","Homem",23,"Parda",6,"9 anos de estudo",1100
"2021","1","Mato Grosso do Sul","Urbana","Homem",75,"Parda",2,"9 anos de estudo",NA
"2021","1","Mato Grosso","Urbana","Mulher",37,"Branca",3,"16 anos ou mais de estudo",5000
"2021","1","Maranhão","Urbana","Homem",49,"Parda",3,"16 anos ou mais de estudo",1200
"2021","1","Pernambuco","Urbana","Mulher",45,"Parda",4,"13 anos de estudo",1600
"2021","1","Amapá","Urbana","Homem",3,"Parda",6,NA,NA
"2021","1","Amazonas","Urbana","Mulher",61,"Parda",3,"12 anos de estudo",NA
"2021","1","Minas Gerais","Rural","Mulher",54,"Branca",3,"6 anos de estudo",NA
"2021","1","Pernambuco","Urbana","Mulher",38,"Branca",4,"5 anos de estudo",1100
"2021","1","Minas Gerais","Urbana","Homem",50,"Parda",5,"11 anos de estudo",3000
"2021","1","Rio de Janeiro","Urbana","Homem",41,"Parda",3,"12 anos de estudo",5200
"2021","1","Paraíba","Urbana","Mulher",47,"Parda",2,"1 ano de estudo",NA
"2021","1","Minas Gerais","Rural","Homem",39,"Parda",4,"5 anos de estudo",300
"2021","1","Bahia","Urbana","Mulher",44,"Parda",4,"12 anos de estudo",NA
"2021","1","Goiás","Urbana","Mulher",32,"Preta",5,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Santa Catarina","Urbana","Homem",27,"Branca",5,"16 anos ou mais de estudo",NA
"2021","1","Maranhão","Urbana","Mulher",66,"Parda",4,"5 anos de estudo",NA
"2021","1","Minas Gerais","Rural","Homem",55,"Parda",2,"5 anos de estudo",1000
"2021","1","Pará","Rural","Homem",70,"Parda",2,"2 anos de estudo",NA
"2021","1","São Paulo","Urbana","Mulher",69,"Branca",2,"16 anos ou mais de estudo",NA
"2021","1","Goiás","Rural","Mulher",41,"Parda",2,"7 anos de estudo",800
"2021","1","Goiás","Rural","Mulher",31,"Parda",6,"7 anos de estudo",NA
"2021","1","Sergipe","Urbana","Mulher",38,"Branca",2,"12 anos de estudo",NA
"2021","1","Pernambuco","Urbana","Mulher",91,"Parda",5,"4 anos de estudo",NA
"2021","1","Rio Grande do Sul","Urbana","Homem",62,"Branca",2,"5 anos de estudo",NA
"2021","1","Pernambuco","Rural","Mulher",30,"Parda",3,"12 anos de estudo",300
"2021","1","Maranhão","Rural","Homem",21,"Parda",4,"4 anos de estudo",NA
"2021","1","Rio Grande do Sul","Urbana","Mulher",59,"Branca",4,"10 anos de estudo",NA
"2021","1","Rio Grande do Sul","Urbana","Homem",4,"Branca",3,NA,NA
"2021","1","Amazonas","Urbana","Mulher",29,"Parda",4,"12 anos de estudo",160
"2021","1","Distrito Federal","Urbana","Mulher",5,"Parda",4,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Paraná","Urbana","Homem",24,"Branca",3,"15 anos de estudo",1000
"2021","1","Rio de Janeiro","Urbana","Mulher",83,"Parda",1,"Sem instrução e menos de 1 ano de estudo",NA
"2021","1","Acre","Urbana","Homem",6,"Parda",3,"Sem instrução e menos de 1 ano de estudo",NA
